code,label,fullname
394,,"PCB_194 (air+aerosol) (pg/m3)"
395,,"PCB_206 (air+aerosol) (pg/m3)"
396,,"PCB_209 (air+aerosol) (pg/m3)"
397,,"PCB_28 (air+aerosol) (pg/m3)"
398,,"PCB_28 (precip)"
399,,"PCB_28 (precip+dry_dep)"
400,,"PCB_33 (air+aerosol) (pg/m3)"
401,,"PCB_37 (air+aerosol) (pg/m3)"
402,,"PCB_47 (air+aerosol) (pg/m3)"
403,,"PCB_52 (air+aerosol) (pg/m3)"
404,,"Lead (precip+dry_dep)"
405,,"Mercury (precip+dry_dep)"
406,,"Cadmium (precip+dry_dep)"
407,,"Nickel (precip+dry_dep)"
408,,"PCB_52 (precip)"
409,,"Benzo(a)pyrene (precip+dry_dep)"
410,,"PCB_52 (precip+dry_dep)"
411,,"PCB_60 (air+aerosol) (pg/m3)"
412,,"PCB_66 (air+aerosol) (pg/m3)"
413,,"PCB_74 (air+aerosol) (pg/m3)"
414,,"PCB_99 (air+aerosol) (pg/m3)"
415,,"PCB_122 (air+aerosol) (pg/m3)"
416,,"PCB_123 (air+aerosol) (pg/m3)"
417,,"PCB_128 (air+aerosol) (pg/m3)"
418,,"PCB_138 (precip)"
419,,"phenanthrene (air+aerosol) (ng/m3)"
420,,"phenanthrene (precip)"
421,,"phenanthrene (precip+dry_dep)"
422,,"pyrene (air+aerosol) (ng/m3)"
423,,"pyrene (precip)"
424,,"pyrene (precip+dry_dep)"
425,,"sulphate (precip)"
426,,"sulphate_corrected (precip)"
427,,"titanium (precip)"
428,,"vanadium (precip)"
429,,"alpha_HCH (air+aerosol) (pg/m3)"
430,,"Copper (aerosol) (ng/m3)"
431,,"alpha_HCH (precip)"
432,,"alpha_HCH (precip+dry_dep)"
433,,"beta_HCH (air+aerosol) (pg/m3)"
434,,"beta_HCH (precip)"
435,,"cis_CD (air+aerosol) (pg/m3)"
436,,"cis_CD (precip)"
437,,"cis_NO (air+aerosol) (pg/m3)"
438,,"lindane (air+aerosol) (pg/m3)"
439,,"lindane (precip+dry_dep)"
440,,"Benzo(b,j,k)fluoranthene (precip+dry_dep)"
441,,"lindane (precip)"
442,,"chrysene_triphenylene (precip+dry_dep)"
443,,"op_DDD (precip)"
444,,"Dibenzo(ah)anthracene (precip+dry_dep)"
445,,"op_DDE (precip)"
446,,"op_DDT (precip)"
447,,"op_DDD (air+aerosol) (pg/m3)"
448,,"op_DDE (air+aerosol) (pg/m3)"
449,,"op_DDT (air+aerosol) (pg/m3)"
450,,"pp_DDD (precip)"
451,,"pp_DDE (precip)"
452,,"pp_DDT (precip)"
453,,"pp_DDD (air+aerosol) (pg/m3)"
454,,"pp_DDE (air+aerosol) (pg/m3)"
455,,"pp_DDT (air+aerosol) (pg/m3)"
456,,"precipitation_amount (precip)"
457,,"precipitation_amount_off (precip)"
458,,"trans_CD (air+aerosol) (pg/m3)"
459,,"trans_CD (precip)"
460,,"trans_NO (air+aerosol) (pg/m3)"
461,,"trans_NO (precip)"
462,,"Benzo(j)fluoranthene (precip)"
463,,"Benzo(j)fluoranthene (precip+dry_dep)"
464,,"Benzo(j)fluorene (air+aerosol) (ng/m3)"
465,,"Benzo(j)fluoranthene (air+aerosol) (ng/m3)"
466,,"Dibenzo(ah)anthracene (air+aerosol) (ng/m3)"
467,,"Elemental carbon (aerosol) (µg/m3)"
468,,"Organic carbon (aerosol) (µg/m3)"
469,,"Xylene (air) (µg/m3)"
470,,"p-Xylene (air) (µg/m3)"
471,,"m-Xylene (air) (µg/m3)"
472,,"trans-2-Pentene (air) (µg/m3)"
473,,"cis-2-Pentene (air) (µg/m3)"
474,,"Merkaptani (µg/m3)"
475,temp,"temperatura (℃)"
476,uvb,UV-B
477,ws,"brzina vjetra (m/s)"
478,wd,"smjer vjetra (°)"
479,hum,"relativna vlažnost (%)"
484,,"Phosphorus in PM2.5 (aerosol) ng/m3"
486,,"Fluoranten u PM10"
487,,"Piren u PM10"
488,,"Mn u PM10 – mangan u PM10"
489,,"Cu u PM10 – bakar u PM10"
491,,"Zn u PM10 – cink u PM10"
